gene_id;gene;old_locus_tag;product
PP_RS00005;;PP_0001;ParB/RepB/Spo0J family partition protein
PP_RS00010;;PP_0002;ParA family protein
PP_RS00015;rsmG;PP_0003;16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
PP_RS00020;mnmG;PP_0004;tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG
PP_RS00025;mnmE;PP_0005;tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
PP_RS00030;yidC;PP_0006;membrane protein insertase YidC
PP_RS00035;yidD;PP_0007;membrane protein insertion efficiency factor YidD
PP_RS00040;rnpA;PP_0008;ribonuclease P protein component
PP_RS00045;rpmH;PP_0009;50S ribosomal protein L34
PP_RS00050;dnaA;PP_0010;chromosomal replication initiator protein DnaA
PP_RS00055;dnaN;PP_0011;DNA polymerase III subunit beta
PP_RS00060;recF;PP_0012;DNA replication/repair protein RecF
PP_RS00065;gyrB;PP_0013;DNA topoisomerase (ATP-hydrolyzing) subunit B
PP_RS00070;;PP_5421;hypothetical protein
PP_RS00075;;PP_0014;DDE-type integrase/transposase/recombinase
PP_RS00080;;PP_0015;TniB family NTP-binding protein
PP_RS00085;;PP_0016;TniQ family protein
PP_RS00090;;PP_0017;DNA binding protein
PP_RS00095;;PP_0018;TIGR04255 family protein
PP_RS00100;;PP_0019;transcriptional regulator
PP_RS00110;;PP_0021;hypothetical protein
PP_RS00115;;PP_0022;hypothetical protein
PP_RS00120;;PP_0023;hypothetical protein
PP_RS00125;;PP_0024;phosphoethanolamine--lipid A transferase
PP_RS00130;;PP_0025;zinc ribbon domain-containing protein
PP_RS00135;;PP_0026;cation diffusion facilitator family transporter
PP_RS00140;;PP_0027;DUF3147 family protein
PP_RS00145;;PP_0028;DUF2790 domain-containing protein
PP_RS00150;;PP_0029;heavy metal response regulator transcription factor
PP_RS00155;;PP_0030;heavy metal sensor histidine kinase
PP_RS00160;;PP_0031;hypothetical protein
PP_RS00165;;PP_0032;hypothetical protein
PP_RS00170;;PP_0033;phospholipid carrier-dependent glycosyltransferase
PP_RS00175;;PP_0034;glycosyltransferase family 2 protein
PP_RS00180;;PP_0035;GtrA family protein
PP_RS00185;;PP_0036;LysR family transcriptional regulator
PP_RS00190;;PP_0037;OprO/OprP family phosphate-selective porin
PP_RS00195;;PP_0039;hypothetical protein
PP_RS00200;;PP_0040;hypothetical protein
PP_RS00205;;PP_0041;heavy metal translocating P-type ATPase
PP_RS00210;;PP_0042;DUF2790 domain-containing protein
PP_RS00215;;PP_0043;CusA/CzcA family heavy metal efflux RND transporter
PP_RS00220;;PP_0044;efflux RND transporter periplasmic adaptor subunit
PP_RS00225;;PP_0045;TolC family protein
PP_RS00230;;PP_0046;OprD family porin
PP_RS00235;;PP_0047;heavy metal response regulator transcription factor
PP_RS00240;;PP_0048;hypothetical protein
PP_RS00245;;PP_5423;hypothetical protein
PP_RS00250;;PP_0049;hypothetical protein
PP_RS00255;;PP_5424;hypothetical protein
PP_RS00260;;PP_0050;RcnB family protein
PP_RS00265;;PP_0051;sigma-54-dependent Fis family transcriptional regulator
PP_RS00270;;PP_0052;MBL fold metallo-hydrolase
PP_RS00275;;PP_0053;NAD(P)/FAD-dependent oxidoreductase
PP_RS00280;;PP_0054;sulfite exporter TauE/SafE family protein
PP_RS00285;;PP_0055;LysR family transcriptional regulator
PP_RS00290;;PP_0056;GMC family oxidoreductase N-terminal domain-containing protein
PP_RS00295;;PP_0057;MFS transporter
PP_RS00300;;PP_0058;1-acyl-sn-glycerol-3-phosphate acyltransferase
PP_RS00305;gmhB;PP_0059;D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase
PP_RS00310;glyS;PP_0060;glycine--tRNA ligase subunit beta
PP_RS00315;glyQ;PP_0061;glycine--tRNA ligase subunit alpha
PP_RS00320;;PP_0062;DNA-3-methyladenine glycosylase I
PP_RS00325;;PP_0063;lysophospholipid acyltransferase
PP_RS00330;;PP_0064;tetratricopeptide repeat protein
PP_RS00335;trkA;PP_0065;Trk system potassium transporter TrkA
PP_RS00340;rsmB;PP_0066;16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB
PP_RS00345;fmt;PP_0067;methionyl-tRNA formyltransferase
PP_RS00350;def;PP_0068;peptide deformylase
PP_RS00355;dprA;PP_0069;DNA-processing protein DprA
PP_RS00360;;PP_0070;L-threonylcarbamoyladenylate synthase
PP_RS00365;;PP_5425;hypothetical protein
PP_RS00370;;PP_0071;hypothetical protein
PP_RS00375;;PP_0072;NADPH:quinone reductase
PP_RS00380;hemF;PP_0073;oxygen-dependent coproporphyrinogen oxidase
PP_RS00385;aroE;PP_0074;shikimate dehydrogenase
PP_RS00390;;PP_0075;SulP family inorganic anion transporter
PP_RS00395;choX;PP_0076;choline ABC transporter substrate-binding protein
PP_RS00400;betC;PP_0077;choline-sulfatase
PP_RS00405;;PP_0079;LysR family transcriptional regulator
PP_RS00410;;PP_0080;NAD(P)H-binding protein
PP_RS00415;;PP_0081;DOPA 4,5-dioxygenase family protein
PP_RS00420;trpA;PP_0082;tryptophan synthase subunit alpha
PP_RS00425;trpB;PP_0083;tryptophan synthase subunit beta
PP_RS00430;;PP_0084;LysR family transcriptional regulator
PP_RS00435;;PP_0085;DUF883 family protein
PP_RS00440;;PP_0086;dodecin family protein
PP_RS00445;;PP_0087;DUF1161 domain-containing protein
PP_RS00450;;PP_0088;LLM class flavin-dependent oxidoreductase
PP_RS00455;;PP_0089;OsmC family protein
PP_RS00460;;PP_0090;DUF1161 domain-containing protein
PP_RS00465;;PP_0091;lipoprotein
PP_RS00470;;PP_0092;lipoprotein
PP_RS00475;;PP_0093;aminopeptidase
PP_RS00480;;PP_0094;HAD family hydrolase
PP_RS00485;;PP_0095;gamma carbonic anhydrase family protein
PP_RS00490;prlC;PP_0096;oligopeptidase A
PP_RS00495;;PP_0097;YheV family putative metal-binding protein
